Identifier,Tag: Name,Service,Type,Region,Tag: Class,Tag: Creator,Tag: Landscape,Tag: Application,Tag: Environment,Tags
018c8266-ff6c-4e9c-969c-83246ba720e0,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
11456bd4-f3e6-4477-a6d7-8b9d471f4683,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
11f7d829-eb28-43f2-bc80-ba4881ce6fda,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
18403968-b044-4ad2-8b21-fd20ec9f91f5,(not tagged),KMS,Key,us-east-1,Alerting,Cliff Williams,Production,(not tagged),Powershell,3
1c0d8210-f83e-4e1a-a930-74eda30ea41d,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
50a67b7f-7756-4cd8-9f8d-90be6caa293d,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
56f4f3df-dc35-49f8-a742-a9574f951bea,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
5cc399f5-0ecb-49a2-8cf6-f527d8bdd589,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
772811b2-7443-49d8-b0a0-2d4cab73c065,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
7b993eae-7aaa-43c6-b332-a84b72eb93ac,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
7dd7cdef-68ca-40ea-ad77-9d0bfe16c403,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
9cd3ba76-6c06-4672-b3dd-728ec322b6d1,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
a74979d8-1e1f-4e2a-8fab-067609d168a9,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
b205df93-a0f1-4f32-912c-4050715a489c,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
bac444f6-b630-4efb-b3b4-e1e880acc24c,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
c28ce51e-524f-4da1-93f8-bcda4b92268c,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
c575c35d-d551-4e51-b1c5-86e4510eb0d1,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
cd4e773d-6ef2-4f7e-ab5a-0468715c1200,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
e49e7c45-7ca6-4d6e-923a-b464c91289bc,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
e844fb5f-2e78-455c-85aa-9df5c9dc2013,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
f36839c5-6f7e-48ff-a8c9-1f82a3651a6e,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
fc292541-a313-42e4-9c1b-2f37f99842fe,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
mrk-1ef2326931ac490dac7093ee43b5f758,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
